code_zone_geo;zone_geographique;annee;code_type_org;type_d_organisme;code_indicateur;indicateur;code_type_pers;type_de_personnel;secret;non_disponible;etat_des_donnees;valeur
01;Guadeloupe;2010;0;Total administrations et entreprises;pers;Effectifs de R&D;0;Tous types de personnel;oui;non;définitif;
01;Guadeloupe;2010;1;Administrations;pers;Effectifs de R&D;2;Soutien à la recherche;non;non;définitif;266.02
01;Guadeloupe;2013;1;Administrations;pers;Effectifs de R&D;1;Chercheurs;non;non;semi-définitif;235.24
02;Martinique;2002;0;Total administrations et entreprises;pers;Effectifs de R&D;2;Soutien à la recherche;oui;non;définitif;
02;Martinique;2004;0;Total administrations et entreprises;dird;Dépense intérieure de R&D;;;oui;non;définitif;
02;Martinique;2008;0;Total administrations et entreprises;pers;Effectifs de R&D;2;Soutien à la recherche;oui;non;définitif;
02;Martinique;2013;0;Total administrations et entreprises;pers;Effectifs de R&D;0;Tous types de personnel;oui;non;semi-définitif;
03;Guyane;2001;2;Entreprises;dird;Dépense intérieure de R&D;;;oui;non;définitif;
03;Guyane;2005;0;Total administrations et entreprises;pers;Effectifs de R&D;0;Tous types de personnel;oui;non;définitif;
03;Guyane;2006;0;Total administrations et entreprises;pers;Effectifs de R&D;1;Chercheurs;oui;non;définitif;
03;Guyane;2006;0;Total administrations et entreprises;pers;Effectifs de R&D;2;Soutien à la recherche;oui;non;définitif;
03;Guyane;2007;0;Total administrations et entreprises;pers;Effectifs de R&D;1;Chercheurs;oui;non;définitif;
03;Guyane;2009;0;Total administrations et entreprises;dird;Dépense intérieure de R&D;;;oui;non;définitif;
03;Guyane;2012;0;Total administrations et entreprises;pers;Effectifs de R&D;0;Tous types de personnel;oui;non;définitif;
03;Guyane;2012;0;Total administrations et entreprises;pers;Effectifs de R&D;2;Soutien à la recherche;oui;non;définitif;
03;Guyane;2013;2;Entreprises;pers;Effectifs de R&D;0;Tous types de personnel;oui;non;semi-définitif;
04;La Réunion;2003;0;Total administrations et entreprises;dird;Dépense intérieure de R&D;;;oui;non;définitif;
04;La Réunion;2010;2;Entreprises;pers;Effectifs de R&D;1;Chercheurs;oui;non;définitif;
04;La Réunion;2012;0;Total administrations et entreprises;dird;Dépense intérieure de R&D;;;oui;non;définitif;
04;La Réunion;2013;0;Total administrations et entreprises;pers;Effectifs de R&D;0;Tous types de personnel;oui;non;semi-définitif;
06;Mayotte;2001;2;Entreprises;dird;Dépense intérieure de R&D;;;oui;non;définitif;
06;Mayotte;2013;1;Administrations;pers;Effectifs de R&D;1;Chercheurs;non;non;semi-définitif;8.3
100;France;2002;0;Total administrations et entreprises;pers;Effectifs de R&D;0;Tous types de personnel;non;non;définitif;339846.97
100;France;2003;0;Total administrations et entreprises;pers;Effectifs de R&D;0;Tous types de personnel;non;non;définitif;342307.05
100;France;2004;2;Entreprises;pers;Effectifs de R&D;1;Chercheurs;non;non;définitif;108751.61
100;France;2005;2;Entreprises;pers;Effectifs de R&D;1;Chercheurs;non;non;définitif;106837.3
100;France;2006;2;Entreprises;pers;Effectifs de R&D;2;Soutien à la recherche;non;non;définitif;94353.99
100;France;2007;0;Total administrations et entreprises;dird;Dépense intérieure de R&D;;;non;non;définitif;38418.09
100;France;2011;0;Total administrations et entreprises;dird;Dépense intérieure de R&D;;;non;non;définitif;45111.51
100;France;2011;2;Entreprises;pers;Effectifs de R&D;0;Tous types de personnel;non;non;définitif;239111.39
11;Île-de-France;2008;2;Entreprises;dird;Dépense intérieure de R&D;;;non;non;définitif;10766.13
11;Île-de-France;2009;2;Entreprises;pers;Effectifs de R&D;0;Tous types de personnel;non;non;définitif;88327.12
11;Île-de-France;2010;2;Entreprises;pers;Effectifs de R&D;1;Chercheurs;non;non;définitif;63597.63
21;Champagne-Ardenne;2002;0;Total administrations et entreprises;pers;Effectifs de R&D;2;Soutien à la recherche;non;non;définitif;1325.82
21;Champagne-Ardenne;2003;1;Administrations;dird;Dépense intérieure de R&D;;;non;non;définitif;62.55
21;Champagne-Ardenne;2005;0;Total administrations et entreprises;dird;Dépense intérieure de R&D;;;non;non;définitif;228.22
21;Champagne-Ardenne;2005;2;Entreprises;pers;Effectifs de R&D;2;Soutien à la recherche;non;non;définitif;1162.95
21;Champagne-Ardenne;2006;2;Entreprises;pers;Effectifs de R&D;1;Chercheurs;non;non;définitif;902.45
21;Champagne-Ardenne;2007;0;Total administrations et entreprises;pers;Effectifs de R&D;0;Tous types de personnel;non;non;définitif;3007.34
21;Champagne-Ardenne;2007;0;Total administrations et entreprises;pers;Effectifs de R&D;1;Chercheurs;non;non;définitif;1600.66
21;Champagne-Ardenne;2011;2;Entreprises;pers;Effectifs de R&D;0;Tous types de personnel;non;non;définitif;1849.23
21;Champagne-Ardenne;2013;0;Total administrations et entreprises;pers;Effectifs de R&D;2;Soutien à la recherche;non;non;semi-définitif;1062.04
21;Champagne-Ardenne;2013;2;Entreprises;dird;Dépense intérieure de R&D;;;non;non;semi-définitif;192.63
22;Picardie;2007;1;Administrations;pers;Effectifs de R&D;0;Tous types de personnel;non;non;définitif;1235.91
22;Picardie;2008;1;Administrations;pers;Effectifs de R&D;2;Soutien à la recherche;non;non;définitif;443.49
22;Picardie;2009;2;Entreprises;pers;Effectifs de R&D;1;Chercheurs;non;non;définitif;1943.82
22;Picardie;2010;1;Administrations;dird;Dépense intérieure de R&D;;;non;non;définitif;109.14
22;Picardie;2011;0;Total administrations et entreprises;dird;Dépense intérieure de R&D;;;non;non;définitif;573.58
22;Picardie;2011;1;Administrations;dird;Dépense intérieure de R&D;;;non;non;définitif;108.84
23;Haute-Normandie;2007;1;Administrations;pers;Effectifs de R&D;0;Tous types de personnel;non;non;définitif;1559.42
23;Haute-Normandie;2007;2;Entreprises;pers;Effectifs de R&D;2;Soutien à la recherche;non;non;définitif;2611.39
23;Haute-Normandie;2008;2;Entreprises;pers;Effectifs de R&D;0;Tous types de personnel;non;non;définitif;4954.33
23;Haute-Normandie;2013;2;Entreprises;pers;Effectifs de R&D;0;Tous types de personnel;non;non;semi-définitif;4910.05
23;Haute-Normandie;2013;2;Entreprises;pers;Effectifs de R&D;1;Chercheurs;non;non;semi-définitif;2507.26
24;Centre;2001;2;Entreprises;pers;Effectifs de R&D;0;Tous types de personnel;non;non;définitif;6662.34
24;Centre;2002;2;Entreprises;pers;Effectifs de R&D;2;Soutien à la recherche;non;non;définitif;4096.82
24;Centre;2004;1;Administrations;pers;Effectifs de R&D;1;Chercheurs;non;non;définitif;1870.82
24;Centre;2006;1;Administrations;pers;Effectifs de R&D;0;Tous types de personnel;non;non;définitif;3386.9
